KICK_DATA: timestamp=1776778697, size=46, centerX=93, centerY=67, leftEdge=70, rightEdge=116, redPixels=447, walkSteps=15, sidestep=1, kick=LeftFootKick
KICK_DATA: timestamp=1776778724, size=46, centerX=93, centerY=67, leftEdge=70, rightEdge=116, redPixels=447, walkSteps=15, sidestep=1, kick=LeftFootKick
KICK_DATA: timestamp=1776778743, size=46, centerX=93, centerY=67, leftEdge=70, rightEdge=116, redPixels=447, walkSteps=15, sidestep=1, kick=LeftFootKick
KICK_DATA: timestamp=1776779054, size=44, centerX=78, centerY=66, leftEdge=56, rightEdge=100, redPixels=430, walkSteps=15, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1776917045, size=44, centerX=78, centerY=66, leftEdge=56, rightEdge=100, redPixels=430, walkSteps=15, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777122528, size=44, centerX=78, centerY=66, leftEdge=56, rightEdge=100, redPixels=430, walkSteps=15, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777122581, size=43, centerX=61, centerY=64, leftEdge=40, rightEdge=82, redPixels=403, walkSteps=24, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777122646, size=46, centerX=62, centerY=78, leftEdge=40, rightEdge=84, redPixels=454, walkSteps=24, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777122706, size=45, centerX=40, centerY=73, leftEdge=18, rightEdge=62, redPixels=427, walkSteps=11, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777122760, size=44, centerX=51, centerY=73, leftEdge=30, rightEdge=72, redPixels=422, walkSteps=8, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777122778, size=44, centerX=51, centerY=73, leftEdge=30, rightEdge=72, redPixels=422, walkSteps=8, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777122799, size=42, centerX=62, centerY=66, leftEdge=42, rightEdge=82, redPixels=395, walkSteps=6, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777122942, size=48, centerX=49, centerY=87, leftEdge=26, rightEdge=72, redPixels=473, walkSteps=7, sidestepDir=1, kick=LeftFootKick
KICK_DATA: timestamp=1777122981, size=48, centerX=49, centerY=87, leftEdge=26, rightEdge=72, redPixels=473, walkSteps=7, sidestepDir=1, kick=LeftFootKick
